Beautiful,Confident,Mean,Cruel,Agreeable,Serious,Wise,Helpful,Healthy,Weird
4.280701754,4.333333333,3.6,3.813559322,4.0,4.716666667,4.033333333,4.517241379,4.0,3.859649123
4.473684211,5.216666667,4.45,3.474576271,3.6,4.457627119,3.95,4.379310345,4.8,3.206896552
3.035087719,3.474576271,5.083333333,4.775862069,2.423728814,4.65,2.813559322,3.052631579,3.12962963,4.842105263
4.321428571,3.783333333,4.2,3.898305085,3.542372881,4.833333333,3.316666667,3.517241379,4.381818182,3.793103448
4.789473684,4.416666667,4.220338983,4.101694915,3.366666667,5.566666667,4.05,4.142857143,4.672727273,3.103448276
3.894736842,4.762711864,4.866666667,4.275862069,3.3,5.566666667,5.016666667,4.035087719,4.074074074,2.931034483
4.625,4.813559322,4.610169492,4.389830508,3.779661017,4.766666667,4.266666667,4.086206897,4.6,3.706896552
5.719298246,5.083333333,4.016666667,3.474576271,4.483333333,4.766666667,4.35,4.586206897,5.518518519,2.446428571
4.526315789,4.833333333,3.316666667,3.186440678,4.783333333,3.283333333,4.216666667,5.017241379,4.581818182,3.448275862
4.649122807,4.433333333,3.45,3.305084746,4.516666667,4.233333333,4.203389831,4.775862069,4.909090909,3.103448276
5.053571429,4.383333333,3.06779661,2.913793103,4.8,4.35,4.283333333,4.551724138,4.833333333,2.315789474
3.578947368,4.05,3.433333333,3.220338983,4.4,3.95,3.9,4.293103448,4.363636364,3.75862069
4.071428571,4.05,4.65,4.186440678,3.440677966,5.333333333,3.916666667,3.431034483,4.327272727,3.051724138
4.070175439,4.15,4.3,3.86440678,3.816666667,5.066666667,4.183333333,3.75862069,4.425925926,3.464285714
1.98245614,2.966666667,4.266666667,3.689655172,3.283333333,5.203389831,3.333333333,3.586206897,2.509090909,4.74137931
3.375,4.216666667,3.711864407,3.396551724,4.372881356,4.362068966,4.1,4.344827586,4.309090909,3.0
4.210526316,4.13559322,4.383333333,4.152542373,4.016666667,4.5,3.728813559,3.98245614,4.545454545,3.689655172
2.684210526,3.733333333,3.661016949,3.982758621,4.066666667,4.366666667,4.366666667,3.913793103,2.872727273,4.034482759
4.214285714,4.216666667,4.233333333,4.068965517,3.816666667,5.05,4.118644068,4.017241379,4.462962963,2.807017544
4.5,5.155172414,3.75,3.189655172,4.5,3.355932203,3.633333333,3.896551724,4.927272727,3.315789474
2.807017544,3.566666667,4.766666667,4.898305085,3.066666667,5.237288136,3.266666667,3.0,3.363636364,4.24137931
2.280701754,4.05,5.066666667,5.06779661,2.916666667,5.169491525,4.116666667,3.137931034,2.909090909,4.086206897
3.418181818,3.152542373,2.9,3.0,4.389830508,4.35,4.016666667,4.689655172,3.309090909,3.775862069
5.263157895,5.372881356,2.816666667,2.728813559,4.916666667,4.15,4.666666667,5.245614035,5.381818182,2.310344828
