like,PrivPub,class_code,school
8,public,1,1
6,public,1,1
5,public,1,1
2,public,1,1
5,public,1,1
6,public,1,1
3,public,1,1
7,public,1,1
6,public,1,1
3,public,1,1
4,public,1,1
8,public,1,1
5,public,1,1
8,public,1,1
2,public,2,1
4,public,2,1
4,public,2,1
4,public,2,1
3,public,2,1
5,public,2,1
6,public,2,1
6,public,2,1
6,public,2,1
5,public,2,1
8,public,2,1
5,public,2,1
6,public,2,1
5,public,3,1
4,public,3,1
3,public,3,1
4,public,3,1
1,public,3,1
1,public,3,1
7,public,3,1
7,public,3,1
3,public,3,1
8,public,3,1
5,public,3,1
3,public,3,1
8,public,3,1
6,public,3,1
6,public,1,2
3,public,1,2
3,public,1,2
7,public,1,2
6,public,1,2
7,public,1,2
6,public,1,2
8,public,1,2
7,public,1,2
7,public,1,2
3,public,1,2
8,public,1,2
7,public,1,2
8,public,1,2
4,public,1,2
3,public,1,2
1,public,1,2
3,public,1,2
8,public,1,2
6,public,1,2
7,public,1,2
3,public,1,2
6,public,1,2
7,public,1,2
8,public,1,2
8,public,1,2
3,public,1,3
2,public,1,3
8,public,1,3
6,public,1,3
2,public,1,3
4,public,1,3
3,public,1,3
5,public,1,3
3,public,1,3
5,public,1,3
6,public,1,3
7,public,1,3
8,public,1,3
7,public,1,3
2,public,1,3
5,public,1,3
6,public,1,3
6,public,1,3
5,public,1,3
4,public,1,3
7,public,1,3
6,public,1,3
4,public,1,3
4,public,1,3
6,public,1,3
4,public,1,3
4,public,1,3
8,public,2,3
6,public,2,3
4,public,2,3
5,public,2,3
6,public,2,3
6,public,2,3
4,public,2,3
3,public,2,3
4,public,2,3
5,public,2,3
4,public,2,3
6,public,2,3
5,public,2,3
6,public,2,3
3,public,2,3
8,public,2,3
5,public,2,3
4,public,2,3
7,public,2,3
8,public,2,3
6,public,2,3
7,public,2,3
5,public,1,4
6,public,1,4
6,public,1,4
6,public,1,4
6,public,1,4
8,public,1,4
4,public,1,4
8,public,1,4
8,public,1,4
6,public,1,4
5,public,1,4
6,public,1,4
6,public,1,4
8,public,1,4
5,public,1,4
8,public,1,4
6,public,1,4
8,public,1,4
8,public,1,4
8,public,1,4
7,public,1,4
5,public,1,4
6,public,1,4
8,public,1,4
8,public,1,4
6,public,1,4
5,public,1,4
2,public,1,5
4,public,1,5
4,public,1,5
5,public,1,5
6,public,1,5
4,public,1,5
4,public,1,5
5,public,1,5
2,public,1,5
5,public,1,5
4,public,1,5
2,public,1,5
6,public,1,5
5,public,1,6
5,public,1,6
6,public,1,6
6,public,1,6
8,public,1,6
4,public,1,6
5,public,1,6
2,public,1,6
8,public,1,6
3,public,1,6
7,public,1,6
5,public,1,6
6,public,1,6
4,public,1,6
6,public,1,6
6,public,1,6
7,public,1,6
2,public,1,6
6,public,1,6
7,public,1,6
2,public,1,6
6,public,1,6
6,public,1,6
6,public,2,6
6,public,2,6
3,public,2,6
8,public,2,6
6,public,2,6
6,public,2,6
6,public,2,6
6,public,2,6
6,public,2,6
6,public,2,6
6,public,2,6
7,public,2,6
8,public,2,6
4,public,2,6
8,public,2,6
8,public,2,6
6,public,2,6
6,public,2,6
4,public,2,6
5,public,2,6
4,public,1,7
4,public,1,7
3,public,1,7
4,public,1,7
4,public,1,7
7,public,1,7
4,public,1,7
7,public,1,7
6,public,1,7
7,public,1,7
4,public,1,7
7,public,1,7
4,public,1,7
7,public,1,7
7,public,1,7
4,public,1,7
7,public,1,7
6,public,1,8
7,public,1,8
3,public,1,8
3,public,1,8
6,public,1,8
6,public,1,8
8,public,1,8
7,public,1,8
7,public,1,8
5,public,1,8
7,public,1,8
5,public,1,8
3,public,1,8
3,public,1,8
7,public,1,8
5,public,1,8
4,public,1,8
8,public,1,8
6,public,1,8
6,public,1,8
6,public,1,8
1,public,1,8
2,public,1,8
7,public,1,8
6,public,1,8
7,public,1,8
6,public,1,8
5,public,1,9
3,public,1,9
5,public,1,9
5,public,1,9
6,public,1,9
4,public,1,9
6,public,1,9
4,public,1,9
5,public,1,9
3,public,1,9
4,public,1,9
6,public,1,9
7,public,1,9
8,public,1,9
5,public,1,9
8,public,1,9
6,public,1,9
6,public,1,9
8,public,1,9
6,public,1,9
4,public,1,9
2,public,1,9
6,public,1,9
6,public,1,9
7,public,1,9
8,public,1,10
6,public,1,10
7,public,1,10
8,public,1,10
4,public,1,10
6,public,1,10
7,public,1,10
3,public,1,10
8,public,1,10
6,public,1,10
8,public,1,10
8,public,1,10
3,public,1,10
5,public,1,10
8,public,1,11
3,public,1,11
8,public,1,11
7,public,1,11
6,public,1,11
6,public,1,11
6,public,1,11
6,public,1,11
6,public,1,11
6,public,1,11
3,public,1,11
5,public,1,11
6,public,1,11
6,public,1,11
5,public,1,11
8,public,1,11
2,public,1,12
4,public,1,12
6,public,1,12
6,public,1,12
8,public,1,12
7,public,1,12
8,public,1,12
6,public,1,12
5,public,1,12
8,public,1,12
4,public,1,12
4,public,1,12
7,public,1,12
8,public,1,12
2,public,1,12
6,public,1,12
5,public,1,12
3,public,1,12
6,public,1,12
6,public,1,12
3,public,1,12
5,public,1,12
6,public,1,12
7,public,1,12
7,public,1,12
5,public,1,13
6,public,1,13
8,public,1,13
6,public,1,13
7,public,1,13
5,public,1,13
4,public,1,13
6,public,1,13
8,public,1,13
7,public,1,13
7,public,1,13
6,public,1,13
5,public,1,13
8,public,1,13
8,public,1,13
7,public,1,13
5,public,1,13
8,public,1,13
7,public,1,13
8,public,1,13
7,public,1,13
8,public,1,13
6,public,1,13
4,public,1,13
6,public,1,13
4,public,1,13
6,public,2,13
4,public,2,13
6,public,2,13
8,public,2,13
6,public,2,13
6,public,2,13
6,public,2,13
6,public,2,13
6,public,2,13
5,public,2,13
5,public,2,13
6,public,2,13
6,public,2,13
3,public,2,13
5,public,2,13
6,public,2,13
4,public,2,13
3,public,1,14
4,public,1,14
2,public,1,14
3,public,1,14
3,public,1,14
4,public,1,14
7,public,1,14
6,public,1,14
7,public,1,14
8,public,1,14
6,public,1,14
5,public,1,14
8,public,1,14
4,public,1,14
2,public,1,14
8,public,1,14
6,public,1,14
5,public,1,14
6,public,1,14
1,public,1,14
4,public,1,14
1,public,1,14
1,public,1,14
4,public,1,14
1,public,1,15
6,public,1,15
6,public,1,15
6,public,1,15
4,public,1,15
3,public,1,15
3,public,1,15
2,public,1,15
3,public,1,15
6,public,1,15
4,public,1,15
5,public,1,15
3,public,1,15
3,public,1,15
2,public,1,15
1,public,1,15
6,public,1,15
8,public,1,15
5,public,2,15
8,public,2,15
6,public,2,15
5,public,2,15
6,public,2,15
4,public,2,15
3,public,2,15
3,public,2,15
6,public,2,15
5,public,2,15
3,public,2,15
3,public,2,15
4,public,2,15
4,public,2,15
6,public,2,15
5,public,2,15
3,public,2,15
4,public,2,15
7,public,2,15
8,public,2,15
6,public,2,15
8,public,2,15
3,public,2,15
4,public,2,15
3,public,2,15
4,public,1,16
1,public,1,16
1,public,1,16
1,public,1,16
3,public,1,16
1,public,1,16
5,public,1,16
5,public,1,16
3,public,1,16
6,public,1,16
3,public,1,16
3,public,1,16
2,public,1,16
6,public,1,16
4,public,1,16
6,public,1,16
1,public,1,16
2,public,1,16
2,public,1,16
3,public,1,16
5,public,1,16
8,public,1,16
7,public,1,16
5,public,1,16
7,public,2,16
7,public,2,16
6,public,2,16
4,public,2,16
5,public,2,16
5,public,2,16
2,public,2,16
8,public,2,16
7,public,2,16
6,public,2,16
6,public,2,16
4,public,2,16
