PID,PID_Sex,PID_Age,Manipulation,combined_info,score
102,Female,19,Averageness,101_Manipulated,0
105,Female,19,Averageness,101_Manipulated,0
108,Male,19,Averageness,101_Manipulated,3
111,Female,19,Averageness,101_Manipulated,6
114,Male,19,Averageness,101_Manipulated,2
117,Female,19,Averageness,101_Manipulated,0
120,Female,19,Averageness,101_Manipulated,4
123,Male,19,Averageness,101_Manipulated,5
126,Male,21,Averageness,101_Manipulated,4
129,Female,19,Averageness,101_Manipulated,2
132,Female,19,Averageness,101_Manipulated,0
135,Female,19,Averageness,101_Manipulated,6
138,Male,19,Averageness,101_Manipulated,0
141,Female,22,Averageness,101_Manipulated,0
144,Male,19,Averageness,101_Manipulated,4
147,Female,19,Averageness,101_Manipulated,0
150,Male,19,Averageness,101_Manipulated,3
153,Male,18,Averageness,101_Manipulated,0
156,Male,18,Averageness,101_Manipulated,4
159,Female,19,Averageness,101_Manipulated,0
162,Female,19,Averageness,101_Manipulated,7
165,Female,18,Averageness,101_Manipulated,5
168,Male,20,Averageness,101_Manipulated,0
171,Male,19,Averageness,101_Manipulated,4
174,Male,21,Averageness,101_Manipulated,5
177,Female,22,Averageness,101_Manipulated,5
180,Female,19,Averageness,101_Manipulated,6
183,Male,20,Averageness,101_Manipulated,3
186,Female,21,Averageness,101_Manipulated,0
189,Female,19,Averageness,101_Manipulated,0
192,Female,20,Averageness,101_Manipulated,0
195,Female,19,Averageness,101_Manipulated,5
198,Female,19,Averageness,101_Manipulated,0
201,Female,20,Averageness,101_Manipulated,0
204,Female,20,Averageness,101_Manipulated,7
207,Female,18,Averageness,101_Manipulated,0
210,Female,19,Averageness,101_Manipulated,0
213,Male,19,Averageness,101_Manipulated,0
216,Female,21,Averageness,101_Manipulated,0
219,Female,18,Averageness,101_Manipulated,3
222,Female,21,Averageness,101_Manipulated,0
101,Female,21,Femininity,101_Manipulated,5
104,Female,18,Femininity,101_Manipulated,0
110,Female,19,Femininity,101_Manipulated,0
113,Female,18,Femininity,101_Manipulated,6
116,Female,18,Femininity,101_Manipulated,0
119,Female,20,Femininity,101_Manipulated,4
122,Female,20,Femininity,101_Manipulated,0
125,Male,19,Femininity,101_Manipulated,0
128,Female,19,Femininity,101_Manipulated,0
131,Female,18,Femininity,101_Manipulated,0
134,Female,18,Femininity,101_Manipulated,0
137,Female,19,Femininity,101_Manipulated,6
140,Female,19,Femininity,101_Manipulated,3
143,Female,18,Femininity,101_Manipulated,6
146,Female,19,Femininity,101_Manipulated,0
149,Female,18,Femininity,101_Manipulated,0
152,Male,19,Femininity,101_Manipulated,4
155,Male,19,Femininity,101_Manipulated,4
158,Male,19,Femininity,101_Manipulated,0
161,Male,19,Femininity,101_Manipulated,3
164,Female,20,Femininity,101_Manipulated,0
167,Male,19,Femininity,101_Manipulated,4
170,Male,19,Femininity,101_Manipulated,4
173,Male,19,Femininity,101_Manipulated,0
176,Female,22,Femininity,101_Manipulated,0
179,Male,20,Femininity,101_Manipulated,0
182,Male,18,Femininity,101_Manipulated,0
185,Female,22,Femininity,101_Manipulated,3
188,Female,21,Femininity,101_Manipulated,0
191,Female,21,Femininity,101_Manipulated,0
194,Male,18,Femininity,101_Manipulated,5
197,Female,21,Femininity,101_Manipulated,0
200,Male,20,Femininity,101_Manipulated,0
203,Female,19,Femininity,101_Manipulated,5
206,Male,20,Femininity,101_Manipulated,0
209,Male,20,Femininity,101_Manipulated,4
212,Male,22,Femininity,101_Manipulated,3
215,Female,20,Femininity,101_Manipulated,0
218,Male,18,Femininity,101_Manipulated,0
221,Male,19,Femininity,101_Manipulated,3
224,Male,20,Femininity,101_Manipulated,0
43,Male,34,Masculinity,101_Manipulated,0
44,Female,19,Masculinity,101_Manipulated,0
45,Male,20,Masculinity,101_Manipulated,4
46,Female,19,Masculinity,101_Manipulated,2
47,Female,19,Masculinity,101_Manipulated,5
48,Female,20,Masculinity,101_Manipulated,0
49,Male,23,Masculinity,101_Manipulated,0
50,Female,19,Masculinity,101_Manipulated,0
51,Female,19,Masculinity,101_Manipulated,3
52,Female,22,Masculinity,101_Manipulated,0
53,Female,19,Masculinity,101_Manipulated,0
54,Male,19,Masculinity,101_Manipulated,0
55,Female,20,Masculinity,101_Manipulated,0
56,Female,20,Masculinity,101_Manipulated,0
57,Female,19,Masculinity,101_Manipulated,4
58,Male,18,Masculinity,101_Manipulated,0
59,Male,31,Masculinity,101_Manipulated,1
60,Male,19,Masculinity,101_Manipulated,4
61,Female,41,Masculinity,101_Manipulated,0
62,Female,19,Masculinity,101_Manipulated,3
63,Female,24,Masculinity,101_Manipulated,1
64,Female,19,Masculinity,101_Manipulated,4
65,Female,20,Masculinity,101_Manipulated,0
66,Male,21,Masculinity,101_Manipulated,0
67,Female,34,Masculinity,101_Manipulated,0
68,Male,18,Masculinity,101_Manipulated,0
69,Female,19,Masculinity,101_Manipulated,0
70,Female,19,Masculinity,101_Manipulated,0
71,Female,18,Masculinity,101_Manipulated,0
72,Female,18,Masculinity,101_Manipulated,0
73,Female,19,Masculinity,101_Manipulated,0
74,Female,18,Masculinity,101_Manipulated,5
75,Female,20,Masculinity,101_Manipulated,5
76,Female,18,Masculinity,101_Manipulated,0
77,Female,20,Masculinity,101_Manipulated,6
78,Female,19,Masculinity,101_Manipulated,0
79,Female,20,Masculinity,101_Manipulated,0
80,Female,20,Masculinity,101_Manipulated,0
81,Female,18,Masculinity,101_Manipulated,3
82,Female,20,Masculinity,101_Manipulated,3
83,Female,18,Masculinity,101_Manipulated,4
84,Female,19,Masculinity,101_Manipulated,0
85,Female,19,Masculinity,101_Manipulated,0
86,Male,18,Masculinity,101_Manipulated,6
87,Female,18,Masculinity,101_Manipulated,4
88,Female,18,Masculinity,101_Manipulated,3
89,Female,39,Masculinity,101_Manipulated,4
90,Female,18,Masculinity,101_Manipulated,0
91,Male,19,Masculinity,101_Manipulated,0
92,Female,20,Masculinity,101_Manipulated,3
103,Female,18,Symmetry,101_Manipulated,5
106,Female,19,Symmetry,101_Manipulated,0
106,Male,22,Symmetry,101_Manipulated,0
109,Male,20,Symmetry,101_Manipulated,0
112,Female,18,Symmetry,101_Manipulated,0
115,Female,18,Symmetry,101_Manipulated,0
118,Female,19,Symmetry,101_Manipulated,3
121,Female,18,Symmetry,101_Manipulated,0
124,Female,19,Symmetry,101_Manipulated,4
127,Female,19,Symmetry,101_Manipulated,5
130,Female,19,Symmetry,101_Manipulated,0
133,Female,21,Symmetry,101_Manipulated,4
136,Male,20,Symmetry,101_Manipulated,5
139,Female,19,Symmetry,101_Manipulated,4
142,Female,19,Symmetry,101_Manipulated,4
145,Male,18,Symmetry,101_Manipulated,6
148,Male,22,Symmetry,101_Manipulated,5
151,Male,20,Symmetry,101_Manipulated,4
154,Male,21,Symmetry,101_Manipulated,4
157,Male,19,Symmetry,101_Manipulated,0
160,Male,19,Symmetry,101_Manipulated,0
163,Male,21,Symmetry,101_Manipulated,4
166,Male,18,Symmetry,101_Manipulated,4
169,Male,21,Symmetry,101_Manipulated,0
172,Female,19,Symmetry,101_Manipulated,0
175,Male,21,Symmetry,101_Manipulated,0
178,Male,20,Symmetry,101_Manipulated,0
181,Female,22,Symmetry,101_Manipulated,5
184,Female,21,Symmetry,101_Manipulated,2
187,Female,19,Symmetry,101_Manipulated,3
190,Male,19,Symmetry,101_Manipulated,0
193,Female,22,Symmetry,101_Manipulated,4
196,Female,20,Symmetry,101_Manipulated,3
199,Female,19,Symmetry,101_Manipulated,0
202,Female,19,Symmetry,101_Manipulated,4
205,Female,22,Symmetry,101_Manipulated,0
208,Female,18,Symmetry,101_Manipulated,0
211,Female,18,Symmetry,101_Manipulated,0
214,Female,20,Symmetry,101_Manipulated,0
217,Female,19,Symmetry,101_Manipulated,0
220,Male,21,Symmetry,101_Manipulated,3
275,Male,20,Symmetry,101_Manipulated,0
102,Female,19,Averageness,101_None,2
105,Female,19,Averageness,101_None,3
108,Male,19,Averageness,101_None,0
111,Female,19,Averageness,101_None,0
114,Male,19,Averageness,101_None,0
117,Female,19,Averageness,101_None,5
120,Female,19,Averageness,101_None,0
123,Male,19,Averageness,101_None,0
126,Male,21,Averageness,101_None,0
129,Female,19,Averageness,101_None,0
132,Female,19,Averageness,101_None,2
135,Female,19,Averageness,101_None,0
138,Male,19,Averageness,101_None,1
141,Female,22,Averageness,101_None,4
144,Male,19,Averageness,101_None,0
147,Female,19,Averageness,101_None,6
150,Male,19,Averageness,101_None,0
153,Male,18,Averageness,101_None,3
156,Male,18,Averageness,101_None,0
159,Female,19,Averageness,101_None,3
162,Female,19,Averageness,101_None,0
165,Female,18,Averageness,101_None,0
168,Male,20,Averageness,101_None,4
171,Male,19,Averageness,101_None,0
174,Male,21,Averageness,101_None,0
177,Female,22,Averageness,101_None,0
180,Female,19,Averageness,101_None,0
183,Male,20,Averageness,101_None,0
