face_id,condition,Manipulation,score
2,manipulated,Averageness,4.416666666666667
2,manipulated,Femininity,3.7777777777777777
2,manipulated,Masculinity,4.0
2,manipulated,Symmetry,4.3076923076923075
2,none,Averageness,4.117647058823529
2,none,Femininity,4.130434782608695
2,none,Masculinity,4.466666666666667
2,none,Symmetry,4.25
3,manipulated,Averageness,3.25
3,manipulated,Femininity,2.1363636363636362
3,manipulated,Masculinity,2.4
3,manipulated,Symmetry,2.1052631578947367
3,none,Averageness,2.310344827586207
3,none,Femininity,2.1578947368421053
3,none,Masculinity,2.45
3,none,Symmetry,2.347826086956522
4,manipulated,Averageness,3.25
4,manipulated,Femininity,2.933333333333333
4,manipulated,Masculinity,2.9615384615384617
4,manipulated,Symmetry,2.740740740740741
4,none,Averageness,3.64
4,none,Femininity,2.730769230769231
4,none,Masculinity,3.0
4,none,Symmetry,2.933333333333333
8,manipulated,Averageness,3.4210526315789473
8,manipulated,Femininity,3.6470588235294117
8,manipulated,Masculinity,3.772727272727273
8,manipulated,Symmetry,3.5
8,none,Averageness,3.0
8,none,Femininity,3.25
8,none,Masculinity,3.5
8,none,Symmetry,2.9
12,manipulated,Averageness,2.6666666666666665
12,manipulated,Femininity,1.68
12,manipulated,Masculinity,2.388888888888889
12,manipulated,Symmetry,1.8571428571428572
12,none,Averageness,1.75
12,none,Femininity,2.25
12,none,Masculinity,1.84375
12,none,Symmetry,2.1904761904761907
13,manipulated,Averageness,3.619047619047619
13,manipulated,Femininity,3.6363636363636362
13,manipulated,Masculinity,3.566666666666667
13,manipulated,Symmetry,3.5555555555555554
13,none,Averageness,3.6
13,none,Femininity,3.0
13,none,Masculinity,3.75
13,none,Symmetry,2.933333333333333
20,manipulated,Averageness,4.545454545454546
20,manipulated,Femininity,3.727272727272727
20,manipulated,Masculinity,3.85
20,manipulated,Symmetry,2.909090909090909
20,none,Averageness,3.8947368421052633
20,none,Femininity,3.3684210526315788
20,none,Masculinity,4.6
20,none,Symmetry,4.35
25,manipulated,Averageness,3.6470588235294117
25,manipulated,Femininity,3.2
25,manipulated,Masculinity,4.173913043478261
25,manipulated,Symmetry,3.3333333333333335
25,none,Averageness,3.4583333333333335
25,none,Femininity,3.4615384615384617
25,none,Masculinity,3.962962962962963
25,none,Symmetry,3.0555555555555554
41,manipulated,Averageness,3.411764705882353
41,manipulated,Femininity,3.1666666666666665
41,manipulated,Masculinity,3.076923076923077
41,manipulated,Symmetry,2.8076923076923075
41,none,Averageness,3.5833333333333335
41,none,Femininity,3.235294117647059
41,none,Masculinity,3.5416666666666665
41,none,Symmetry,3.8125
48,manipulated,Averageness,5.076923076923077
48,manipulated,Femininity,3.6315789473684212
48,manipulated,Masculinity,4.3076923076923075
48,manipulated,Symmetry,3.6923076923076925
48,none,Averageness,4.107142857142857
48,none,Femininity,3.772727272727273
48,none,Masculinity,4.75
48,none,Symmetry,4.125
55,manipulated,Averageness,3.0
55,manipulated,Femininity,2.3181818181818183
55,manipulated,Masculinity,2.75
55,manipulated,Symmetry,2.05
55,none,Averageness,2.3125
55,none,Femininity,2.8421052631578947
