pid,model_id,cosmetics,rating,cosmetics_code
44,1,without,2,0
44,2,with,5,1
44,3,without,5,0
44,4,without,3,0
44,5,without,3,0
44,6,without,3,0
44,7,without,6,0
44,8,without,5,0
44,9,without,2,0
44,10,without,2,0
44,11,with,3,1
44,12,with,3,1
44,13,without,5,0
44,14,without,3,0
44,15,without,5,0
44,16,with,5,1
44,17,with,3,1
44,18,with,1,1
44,19,with,5,1
44,20,without,3,0
44,21,with,4,1
44,22,without,4,0
44,23,with,3,1
44,24,with,3,1
44,25,with,6,1
44,26,with,2,1
44,27,without,3,0
44,28,without,4,0
44,29,with,4,1
44,30,without,3,0
44,31,with,3,1
44,32,without,3,0
44,33,with,1,1
61,1,with,3,1
61,2,without,4,0
61,3,with,5,1
61,4,without,3,0
61,5,with,3,1
61,6,without,2,0
61,7,with,2,1
61,8,with,6,1
61,9,with,5,1
61,10,without,2,0
61,11,without,2,0
61,12,with,3,1
61,13,with,2,1
61,14,without,2,0
61,15,without,4,0
61,16,with,3,1
61,17,without,3,0
61,18,without,3,0
61,19,with,4,1
61,20,with,5,1
61,21,without,3,0
61,22,with,6,1
61,23,without,4,0
61,24,with,5,1
61,25,without,2,0
61,26,without,5,0
61,27,without,2,0
61,28,without,2,0
61,29,with,3,1
61,30,with,3,1
61,31,without,3,0
61,32,with,5,1
61,33,without,3,0
68,1,without,1,0
68,2,without,2,0
68,3,without,6,0
68,4,with,7,1
68,5,with,6,1
68,6,with,4,1
68,7,without,3,0
68,8,without,4,0
68,9,without,2,0
68,10,with,2,1
68,11,with,4,1
68,12,without,6,0
68,13,without,1,0
68,14,without,2,0
68,15,with,2,1
68,16,without,5,0
68,17,without,1,0
68,18,without,2,0
68,19,with,5,1
68,20,without,1,0
68,21,with,7,1
68,22,without,2,0
68,23,with,2,1
68,24,without,2,0
68,25,without,3,0
68,26,with,6,1
68,27,with,4,1
68,28,with,7,1
68,29,with,3,1
68,30,with,4,1
68,31,without,1,0
68,32,without,5,0
68,33,without,4,0
25,1,without,1,0
25,2,without,1,0
25,3,with,6,1
25,4,with,6,1
25,5,with,4,1
25,6,with,2,1
25,7,without,4,0
25,8,without,1,0
25,9,with,2,1
25,10,with,3,1
25,11,with,2,1
25,12,without,3,0
25,13,with,6,1
25,14,without,2,0
25,15,with,7,1
25,16,without,6,0
25,17,without,2,0
25,18,with,7,1
25,19,with,7,1
25,20,without,1,0
25,21,with,5,1
25,22,with,6,1
25,23,with,6,1
25,24,without,1,0
25,25,without,1,0
25,26,with,7,1
25,27,with,5,1
25,28,without,6,0
25,29,with,4,1
25,30,with,3,1
25,31,without,1,0
25,32,with,1,1
25,33,without,1,0
56,1,with,3,1
56,2,without,5,0
56,3,with,5,1
56,4,without,3,0
56,5,with,6,1
56,6,with,3,1
56,7,without,4,0
56,8,without,6,0
56,9,without,4,0
56,10,with,3,1
56,11,with,3,1
56,12,with,5,1
56,13,with,6,1
56,14,without,3,0
56,15,with,7,1
56,16,with,7,1
56,17,without,5,0
56,18,with,5,1
56,19,with,4,1
56,20,without,4,0
56,21,with,5,1
56,22,with,7,1
56,23,with,3,1
56,24,without,4,0
56,25,with,6,1
56,26,without,2,0
56,27,with,6,1
56,28,without,5,0
56,29,without,2,0
56,30,with,5,1
56,31,without,4,0
56,32,without,4,0
56,33,without,4,0
27,1,without,3,0
27,2,without,5,0
27,3,with,3,1
27,4,with,4,1
27,5,without,3,0
27,6,with,2,1
27,7,with,4,1
27,8,without,2,0
27,9,without,2,0
27,10,without,2,0
27,11,without,4,0
27,12,without,2,0
27,13,with,4,1
27,14,with,3,1
27,15,without,3,0
27,16,with,5,1
27,17,with,5,1
27,18,with,6,1
27,19,without,4,0
27,20,with,3,1
27,21,without,2,0
27,22,with,7,1
27,23,with,2,1
27,24,with,1,1
27,25,with,6,1
27,26,with,5,1
27,27,without,2,0
27,28,without,2,0
27,29,with,2,1
27,30,with,2,1
27,31,with,3,1
27,32,without,1,0
27,33,without,6,0
1,1,without,3,0
1,2,with,7,1
1,3,without,6,0
1,4,with,7,1
1,5,with,5,1
1,6,without,3,0
1,7,with,6,1
1,8,with,7,1
1,9,without,5,0
1,10,with,6,1
1,11,with,7,1
1,12,without,5,0
1,13,without,7,0
1,14,without,3,0
1,15,with,4,1
1,16,without,5,0
1,17,with,3,1
1,18,without,4,0
1,19,with,6,1
1,20,with,4,1
1,21,without,4,0
1,22,without,6,0
1,23,with,5,1
1,24,with,5,1
1,25,without,5,0
1,26,without,4,0
1,27,without,1,0
1,28,with,6,1
1,29,with,6,1
1,30,with,3,1
1,31,without,4,0
1,32,with,2,1
1,33,with,7,1
62,1,with,3,1
62,2,with,2,1
62,3,without,6,0
62,4,with,6,1
62,5,with,5,1
62,6,with,6,1
62,7,without,3,0
62,8,without,4,0
62,9,without,6,0
62,10,without,2,0
62,11,with,3,1
62,12,without,5,0
62,13,without,1,0
62,14,with,4,1
62,15,without,5,0
62,16,without,3,0
62,17,without,4,0
62,18,without,4,0
62,19,with,2,1
62,20,without,3,0
62,21,without,4,0
62,22,with,6,1
62,23,without,6,0
62,24,without,2,0
62,25,without,1,0
62,26,without,5,0
62,27,without,3,0
62,28,with,6,1
62,29,with,3,1
62,30,without,3,0
62,31,without,2,0
62,32,without,6,0
62,33,with,1,1
54,1,without,4,0
54,2,with,6,1
54,3,without,6,0
54,4,without,3,0
54,5,with,6,1
54,6,without,2,0
54,7,without,3,0
54,8,without,5,0
54,9,without,5,0
54,10,without,4,0
54,11,with,7,1
54,12,without,5,0
54,13,with,4,1
54,14,without,3,0
54,15,with,7,1
54,16,with,7,1
54,17,without,3,0
54,18,without,3,0
54,19,without,4,0
54,20,with,7,1
54,21,without,4,0
54,22,with,7,1
54,23,with,5,1
54,24,with,7,1
54,25,without,5,0
54,26,with,6,1
54,27,with,5,1
54,28,with,7,1
54,29,with,6,1
54,30,without,4,0
54,31,without,4,0
54,32,with,6,1
54,33,with,7,1
72,1,with,3,1
72,2,with,5,1
72,3,with,3,1
72,4,without,3,0
72,5,with,4,1
72,6,with,4,1
72,7,without,3,0
72,8,without,4,0
72,9,with,3,1
72,10,with,3,1
72,11,without,3,0
72,12,without,4,0
72,13,without,4,0
72,14,without,3,0
72,15,without,3,0
72,16,with,4,1
72,17,without,4,0
72,18,without,5,0
72,19,without,3,0
72,20,without,3,0
72,21,with,3,1
72,22,without,6,0
72,23,with,3,1
72,24,without,3,0
72,25,with,6,1
72,26,without,3,0
72,27,without,3,0
72,28,with,6,1
72,29,with,3,1
72,30,without,3,0
72,31,without,4,0
72,32,with,3,1
72,33,with,3,1
18,1,with,6,1
18,2,with,2,1
18,3,with,3,1
18,4,without,3,0
18,5,without,3,0
18,6,with,4,1
18,7,with,5,1
18,8,with,7,1
18,9,with,1,1
18,10,without,2,0
18,11,without,1,0
18,12,without,5,0
18,13,without,2,0
18,14,without,1,0
18,15,with,3,1
18,16,with,5,1
18,17,with,2,1
18,18,without,2,0
18,19,with,3,1
18,20,with,5,1
18,21,without,3,0
18,22,without,3,0
18,23,with,5,1
18,24,without,3,0
18,25,without,3,0
18,26,without,1,0
