trait,user_id,stim_id,block,rating,trait:user_id:stim_id,trait:user_id,trait:stim_id
aggressive,498,AF-228,block1,2,aggressive:498:AF-228,aggressive:498,aggressive:AF-228
aggressive,498,WM-217,block1,5,aggressive:498:WM-217,aggressive:498,aggressive:WM-217
aggressive,498,BM-027,block1,2,aggressive:498:BM-027,aggressive:498,aggressive:BM-027
aggressive,498,BM-017,block1,6,aggressive:498:BM-017,aggressive:498,aggressive:BM-017
aggressive,498,AF-250,block1,3,aggressive:498:AF-250,aggressive:498,aggressive:AF-250
aggressive,498,WM-244,block1,4,aggressive:498:WM-244,aggressive:498,aggressive:WM-244
aggressive,498,BM-253,block1,4,aggressive:498:BM-253,aggressive:498,aggressive:BM-253
aggressive,498,LM-210,block1,5,aggressive:498:LM-210,aggressive:498,aggressive:LM-210
aggressive,498,BF-244,block1,6,aggressive:498:BF-244,aggressive:498,aggressive:BF-244
aggressive,498,AM-229,block1,6,aggressive:498:AM-229,aggressive:498,aggressive:AM-229
aggressive,498,BF-005,block1,6,aggressive:498:BF-005,aggressive:498,aggressive:BF-005
aggressive,498,LF-235,block1,3,aggressive:498:LF-235,aggressive:498,aggressive:LF-235
aggressive,498,AM-210,block1,6,aggressive:498:AM-210,aggressive:498,aggressive:AM-210
aggressive,498,WF-020,block1,7,aggressive:498:WF-020,aggressive:498,aggressive:WF-020
aggressive,498,WF-252,block1,8,aggressive:498:WF-252,aggressive:498,aggressive:WF-252
aggressive,498,BF-244,block2,6,aggressive:498:BF-244,aggressive:498,aggressive:BF-244
aggressive,498,AM-229,block2,6,aggressive:498:AM-229,aggressive:498,aggressive:AM-229
aggressive,498,BM-253,block2,4,aggressive:498:BM-253,aggressive:498,aggressive:BM-253
aggressive,498,LF-235,block2,3,aggressive:498:LF-235,aggressive:498,aggressive:LF-235
aggressive,498,WF-020,block2,5,aggressive:498:WF-020,aggressive:498,aggressive:WF-020
aggressive,498,WF-252,block2,6,aggressive:498:WF-252,aggressive:498,aggressive:WF-252
